Creation_Time,Sensor_Time,Arrival_Time,x,y,z
841868467000,841868,1398347034632,0.038307227,0.16280572,9.5385
841878548000,841878,1398347034642,0.05746084,0.18195933,9.557653
841888690000,841888,1398347034652,0.02873042,0.17238252,9.519346
841898835000,841899,1398347034662,0.047884032,0.1436521,9.528923
841908915000,841909,1398347034672,0.05746084,0.11492168,9.519346
841919040000,841919,1398347034682,0.02873042,0.11492168,9.490616
841929129000,841929,1398347034692,0.019153614,0.1436521,9.519346
841939264000,841939,1398347034702,0.0,0.15322891,9.548077
841949392000,841949,1398347034712,0.0,0.16280572,9.557653
841959487000,841959,1398347034722,0.02873042,0.1340753,9.509769
841969772000,841970,1398347034733,0.047884032,0.10534488,9.490616
841979687000,841979,1398347034743,0.038307227,0.11492168,9.5385
841989810000,841990,1398347034753,0.02873042,0.15322891,9.519346
841999950000,842000,1398347034763,0.047884032,0.15322891,9.5385
842010103000,842010,1398347034773,0.038307227,0.16280572,9.548077
842020195000,842020,1398347034783,0.047884032,0.1436521,9.519346
842030263000,842030,1398347034793,0.038307227,0.15322891,9.519346
842040440000,842040,1398347034803,0.02873042,0.1340753,9.500193
842050537000,842050,1398347034814,0.038307227,0.16280572,9.519346
842061247000,842061,1398347034824,0.06703765,0.15322891,9.5385
842080835000,842081,1398347034844,0.047884032,0.1436521,9.528923
842101003000,842101,1398347034864,0.05746084,0.1436521,9.528923
842111476000,842111,1398347034874,0.05746084,0.1340753,9.519346
842121591000,842121,1398347034885,0.047884032,0.095768064,9.528923
842131725000,842132,1398347034895,0.06703765,0.08619126,9.509769
842141786000,842142,1398347034905,0.05746084,0.08619126,9.5385
842151897000,842152,1398347034915,0.019153614,0.10534488,9.5385
842161974000,842162,1398347034925,0.05746084,0.1340753,9.548077
842172092000,842172,1398347034935,0.06703765,0.12449849,9.548077
842182230000,842182,1398347034945,0.047884032,0.1340753,9.5385
842192291000,842192,1398347034955,0.05746084,0.12449849,9.500193
842202403000,842202,1398347034965,0.047884032,0.1436521,9.490616
842212482000,842212,1398347034975,0.05746084,0.12449849,9.490616
842222595000,842222,1398347034986,0.05746084,0.15322891,9.500193
842232727000,842233,1398347034996,0.05746084,0.11492168,9.509769
842242791000,842243,1398347035006,0.05746084,0.15322891,9.509769
842252903000,842253,1398347035016,0.038307227,0.15322891,9.490616
842262990000,842263,1398347035026,0.019153614,0.1436521,9.500193
842273099000,842273,1398347035036,0.019153614,0.12449849,9.509769
842283226000,842283,1398347035046,0.019153614,0.1340753,9.5385
842293293000,842293,1398347035056,0.02873042,0.1340753,9.519346
842303479000,842303,1398347035066,0.02873042,0.1340753,9.528923
842313534000,842313,1398347035077,0.047884032,0.12449849,9.509769
842323651000,842323,1398347035087,0.06703765,0.1436521,9.519346
842333734000,842334,1398347035097,0.06703765,0.18195933,9.519346
842344587000,842344,1398347035108,0.06703765,0.15322891,9.519346
842353945000,842354,1398347035117,0.038307227,0.12449849,9.519346
842364038000,842364,1398347035127,0.047884032,0.12449849,9.548077
842374145000,842374,1398347035137,0.047884032,0.1436521,9.56723
842384256000,842384,1398347035147,0.02873042,0.15322891,9.586384
842394358000,842394,1398347035157,0.038307227,0.12449849,9.576807
842404478000,842404,1398347035167,0.038307227,0.1340753,9.528923
842414725000,842415,1398347035178,0.038307227,0.15322891,9.509769
842424709000,842424,1398347035188,0.02873042,0.11492168,9.509769
842434830000,842435,1398347035198,0.038307227,0.12449849,9.481039
842444985000,842445,1398347035208,0.038307227,0.10534488,9.481039
842455127000,842455,1398347035218,0.05746084,0.10534488,9.528923
842465278000,842465,1398347035228,0.038307227,0.1436521,9.519346
842475315000,842475,1398347035238,0.02873042,0.15322891,9.528923
842485441000,842485,1398347035248,0.019153614,0.1340753,9.576807
842495512000,842495,1398347035259,0.06703765,0.10534488,9.557653
842505628000,842505,1398347035269,0.06703765,0.1340753,9.5385
842515755000,842516,1398347035279,0.047884032,0.1340753,9.528923
842525819000,842526,1398347035289,0.047884032,0.1340753,9.519346
842535930000,842536,1398347035299,0.05746084,0.12449849,9.5385
842546007000,842546,1398347035309,0.05746084,0.16280572,9.5385
842556123000,842556,1398347035319,0.038307227,0.1340753,9.509769
842566246000,842566,1398347035329,0.05746084,0.11492168,9.5385
842576312000,842576,1398347035339,0.05746084,0.11492168,9.519346
842586601000,842586,1398347035350,0.06703765,0.1340753,9.500193
842596499000,842596,1398347035360,0.076614454,0.12449849,9.509769
842606613000,842606,1398347035370,0.06703765,0.1340753,9.519346
842616735000,842617,1398347035380,0.076614454,0.1340753,9.461885
842626801000,842627,1398347035390,0.06703765,0.095768064,9.490616
842636986000,842637,1398347035400,0.047884032,0.076614454,9.500193
842647072000,842647,1398347035410,0.038307227,0.076614454,9.519346
842667282000,842667,1398347035430,0.038307227,0.17238252,9.5385
842678045000,842678,1398347035441,0.05746084,0.1436521,9.548077
842687479000,842687,1398347035450,0.038307227,0.095768064,9.548077
842697728000,842698,1398347035461,0.05746084,0.08619126,9.519346
842707675000,842707,1398347035471,0.02873042,0.1436521,9.519346
842717781000,842718,1398347035481,0.047884032,0.1340753,9.519346
842727922000,842728,1398347035491,0.047884032,0.1340753,9.528923
842738043000,842738,1398347035501,0.038307227,0.1340753,9.519346
842748381000,842748,1398347035511,0.019153614,0.12449849,9.519346
